      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0           0.2      0.212351       0.18556     0.0217831      0.199256      0.034907             0             0   6.21965e-17   4.90884e-17   -1.3108e-17      0.871277
       1      0.231784      0.218923      0.243081       0.02078       0.22998     0.0595203   2.89133e-05   1.34233e-05     0.0585523     0.0115506    -0.0470017      0.998519
       2      0.228123      0.207466      0.245732     0.0255635      0.225641     0.0610377   0.000194764   4.43479e-05      0.225768      0.064419     -0.161349       1.00899
       3       0.18335      0.186876      0.177035     0.0311558      0.178273     0.0323119   0.000472953   8.54041e-05      0.342009       0.11099      -0.23102      0.707007
       4      0.137094      0.160691      0.103223     0.0333562      0.124557     0.0117676    0.00076613   0.000128835      0.333388      0.110055     -0.223332       0.49802
       5      0.114881      0.137331      0.080006     0.0336864     0.0943741    0.00753573    0.00102234   0.000170579      0.279256     0.0945406     -0.184715      0.417062
       6      0.104692      0.123512     0.0733565      0.035839     0.0790194     0.0066656    0.00119836   0.000211515      0.231462     0.0904737     -0.140988      0.341793
       7     0.0960093      0.116618     0.0575933     0.0389717     0.0683846    0.00483578    0.00127048   0.000251247      0.190668     0.0898397     -0.100829      0.276787
       8     0.0918525      0.113417     0.0487041     0.0404746     0.0642293    0.00401028    0.00125854   0.000286504      0.153917     0.0847657    -0.0691508      0.260593
       9     0.0939331      0.112852     0.0571393     0.0405769     0.0666931    0.00491139    0.00119255   0.000314968      0.125242     0.0790469    -0.0461952      0.272721
      10     0.0976649      0.115203     0.0636255     0.0419145     0.0693385    0.00580503    0.00108763   0.000336445       0.10703      0.076634    -0.0303964      0.278105
      11      0.101233      0.121154     0.0595543     0.0476553     0.0705442    0.00581774   0.000952006   0.000352528     0.0948682     0.0750755    -0.0197927      0.281057
      12      0.107764      0.130359     0.0544817     0.0571348     0.0741615    0.00623264   0.000795993   0.000364971      0.086143     0.0724858    -0.0136572      0.317077
      13      0.117829      0.142701     0.0540792     0.0669274     0.0799963    0.00740384   0.000628994   0.000374656      0.082213     0.0706643    -0.0115487      0.402802
      14      0.129756       0.15797     0.0550268     0.0754379     0.0852744    0.00871882    0.00045789   0.000382099     0.0818304     0.0708562    -0.0109743      0.524256
      15      0.142936      0.175525     0.0567479     0.0826556     0.0894224     0.0100523   0.000290809   0.000387554     0.0851209     0.0726203    -0.0125006      0.670539
      16       0.15633      0.194773     0.0589116      0.086438     0.0912247     0.0109421   0.000138912   0.000390938     0.0973804     0.0759781    -0.0214022      0.831607
      17      0.168312      0.214496     0.0594455     0.0843526      0.088403     0.0106491   1.45212e-05   0.000391807      0.120799      0.081551    -0.0392478      0.987337
      18      0.178619       0.23349      0.058551     0.0765763     0.0805538    0.00929215  -7.04905e-05   0.000389679      0.154905     0.0897667    -0.0651383       1.10874
      19      0.188358      0.251765     0.0573311     0.0654614     0.0695441    0.00757206  -0.000104698   0.000384433      0.199989        0.1011    -0.0988893       1.17452
      20      0.198497      0.269716     0.0554792     0.0545634     0.0586717    0.00605511  -7.77111e-05   0.000376169      0.256403      0.116218     -0.140185       1.19135
      21      0.209199      0.287142     0.0529432     0.0476978     0.0519935    0.00507806     1.722e-05   0.000365103         0.323      0.135658     -0.187343       1.18942
      22      0.220083      0.303494     0.0506091     0.0469412     0.0520904    0.00476476   0.000179787   0.000351772       0.39678      0.159642     -0.237138       1.20191
      23      0.230358      0.318164     0.0488945       0.05011     0.0568654    0.00490169   0.000400232   0.000337211       0.47388      0.188239     -0.285641       1.24844
      24      0.239114      0.330509     0.0479035      0.053107     0.0616235     0.0051151   0.000659262   0.000322488      0.550813      0.221428     -0.329385       1.32451
      25      0.246006      0.340334      0.047952     0.0539565     0.0634674    0.00521069   0.000930795   0.000308138      0.625394      0.259051     -0.366344       1.40408
      26      0.251375      0.348251     0.0480554     0.0528346     0.0622193    0.00510081     0.0011864   0.000294416      0.696773      0.300708     -0.396064       1.46016
      27       0.25578      0.355028     0.0472043     0.0507256     0.0594039    0.00480133    0.00139924    0.00028164      0.764438      0.345533     -0.418905       1.48382
      28      0.259581      0.361026     0.0456786     0.0483554     0.0566688    0.00442478    0.00154652   0.000270108      0.827994      0.392364      -0.43563       1.48732
      29       0.26287      0.366268     0.0441045     0.0458679     0.0544761    0.00404907    0.00161068   0.000259999      0.887535      0.440134     -0.447401       1.48887
      30      0.265624      0.370729     0.0425709     0.0431342     0.0522065    0.00367284    0.00157997   0.000251301      0.943176      0.487688     -0.455489       1.49398
      31      0.267873      0.374486     0.0408721     0.0400231     0.0492838    0.00327238    0.00144899   0.000243799      0.994096      0.533306     -0.460789       1.49559
      32      0.269709      0.377662     0.0390097     0.0365444     0.0457935    0.00285725    0.00121866   0.000237195       1.03863      0.574985     -0.463642       1.48692
      33      0.271217      0.380324       0.03708     0.0331103     0.0422782    0.00247122   0.000894669   0.000231232       1.07547      0.611396     -0.464075       1.46806
      34      0.272437      0.382477     0.0350104      0.030495     0.0392245    0.00215567   0.000484676   0.000225789       1.10433      0.642242     -0.462089       1.44302
      35      0.273367      0.384108     0.0327433     0.0291185     0.0367448    0.00192001  -3.60442e-06    0.00022094       1.12543      0.667705     -0.457729       1.41503
      36      0.273991      0.385227     0.0305038     0.0284824     0.0346459    0.00174173  -0.000562746   0.000216983       1.13907      0.687954     -0.451119       1.38583
      37      0.274311      0.385883      0.028626     0.0277068     0.0326412    0.00158711   -0.00118521   0.000214356       1.14572      0.703161     -0.442554       1.35636
      38      0.274374      0.386174     0.0271955     0.0262948      0.030467    0.00143101   -0.00186305   0.000213432       1.14619      0.713652     -0.432542       1.32654
      39       0.27426      0.386228     0.0260243     0.0242522     0.0279589    0.00126544   -0.00258791   0.000214324       1.14157      0.719887     -0.421688       1.29544
      40      0.274054      0.386151     0.0248895      0.021897     0.0251572    0.00109897   -0.00335119   0.000216823       1.13287      0.722353     -0.410517       1.26233
      41      0.273808      0.385997     0.0236802     0.0196938     0.0223283   0.000948597   -0.00414435   0.000220513       1.12087      0.721495     -0.399376       1.22774
      42      0.273529      0.385756     0.0223917     0.0180703     0.0198368   0.000827924   -0.00495926   0.000224959       1.10614      0.717706     -0.388435       1.19315
      43      0.273185      0.385383     0.0210907     0.0171809     0.0179602       0.00074   -0.00578845   0.000229831        1.0891      0.711346     -0.377756       1.15994
      44      0.272737      0.384829      0.019884     0.0168167     0.0167399   0.000678174   -0.00662525   0.000234919       1.07011      0.702747     -0.367361       1.12879
      45      0.272156      0.384066     0.0188574     0.0165946     0.0159496   0.000630981   -0.00746369    0.00024006        1.0495      0.692221     -0.357283       1.09975
      46      0.271429      0.383094     0.0180146     0.0162019     0.0152256   0.000587026   -0.00829846   0.000245094       1.02764      0.680059     -0.347584       1.07246
      47      0.270564      0.381931     0.0172829     0.0154959     0.0142684    0.00053882   -0.00912478   0.000249851       1.00488       0.66654     -0.338339       1.04637
      48      0.269577      0.380604     0.0165805     0.0144848     0.0129584   0.000484722   -0.00993838   0.000254167      0.981554      0.651941     -0.329613       1.02093
      49      0.268485      0.379131     0.0158671     0.0132718     0.0113435   0.000427906    -0.0107355   0.000257904      0.957982      0.636533     -0.321448       0.99589
      50      0.267296      0.377519     0.0151392     0.0120038    0.00956191   0.000373286    -0.0115131   0.000260963      0.934437       0.62058     -0.313857      0.971378
      51       0.26601      0.375763     0.0144066     0.0108318    0.00777358   0.000324877    -0.0122687   0.000263296      0.911156      0.604323     -0.306833       0.94763
      52      0.264621       0.37385     0.0136838    0.00987626    0.00613643   0.000284788    -0.0130003   0.000264901      0.888333      0.587975     -0.300358      0.924816
      53      0.263118      0.371765     0.0129929    0.00919278    0.00480977   0.000253322    -0.0137066   0.000265819       0.86612       0.57171      -0.29441      0.902973
      54      0.261491      0.369494      0.012358    0.00875591    0.00393504   0.000229387    -0.0143868   0.000266114      0.844618      0.555659     -0.288958      0.882036
      55      0.259734      0.367032     0.0117941    0.00848211    0.00354201   0.000211047    -0.0150402   0.000265862       0.82389      0.539915     -0.283974      0.861859
      56      0.257846       0.36438     0.0112989    0.00827762    0.00347296   0.000196183    -0.0156666   0.000265144      0.803964      0.524539     -0.279425      0.842248
      57      0.255831      0.361547     0.0108569    0.00807486    0.00350195   0.000183075    -0.0162659   0.000264037      0.784843      0.509567     -0.275276         0.823
      58      0.253696      0.358542     0.0104493    0.00784199    0.00348432   0.000170685    -0.0168383   0.000262617      0.766514      0.495023     -0.271491      0.803949
      59      0.251449      0.355379     0.0100615    0.00757513    0.00337166   0.000158617    -0.0173838   0.000260948      0.748953      0.480919     -0.268034      0.784994
      60      0.249099      0.352071    0.00968543    0.00728598     0.0031718   0.000146893    -0.0179029   0.000259089       0.73213      0.467262     -0.264869      0.766093
      61      0.246656       0.34863    0.00931844    0.00699114    0.00291618   0.000135709     -0.018396   0.000257087       0.71601       0.45405      -0.26196      0.747245
      62      0.244127      0.345067    0.00896116      0.006705    0.00264089   0.000125259    -0.0188637   0.000254983      0.700553       0.44128     -0.259272      0.728472
